location,population,Continent
Argentina,45195777,Americas
Australia,25499881,Oceania
Belgium,11589616,Europe
Bolivia,11673029,Americas
Brazil,212559409,Americas
Canada,37742157,Americas
Chile,19116209,Americas
China,1439323774,Asia
Colombia,50882884,Americas
Cuba,11326616,Americas
Czechia,10708982,Europe
Dominican Republic,10847904,Americas
Ecuador,17643060,Americas
Egypt,102334403,Africa
Ethiopia,114963583,Africa
Germany,83783945,Europe
Ghana,31072945,Africa
Greece,10423056,Europe
Guatemala,17915567,Americas
Honduras,9904608,Americas
India,1380004385,Asia
Indonesia,273523621,Asia
Israel,8655541,Asia
Italy,60461828,Europe
Japan,126476458,Asia
Malaysia,32365998,Asia
Mexico,128932753,Americas
Netherlands,17134873,Europe
Nigeria,206139587,Africa
Pakistan,220892331,Asia
Peru,32971846,Americas
Poland,37846605,Europe
Portugal,10196707,Europe
Russia,145934460,Europe
Saudi Arabia,34813867,Asia
South Korea,51269183,Asia
Spain,46754783,Europe
Sweden,10099270,Europe
Switzerland,8654618,Europe
Turkey,84339067,Africa
United Arab Emirates,9890400,Asia
United Kingdom,67886004,Europe
United States,331002647,Americas
Venezuela,28435943,Americas
Vietnam,97338583,Asia
Norway,5421242,Europe
